1. How long it takes to finish 4 queries?
4 queries search time: 0.9205 min
903 Q0 NYT19990224.0221 3 2.480427130579524E-12 MYRUN
903 Q0 NYT19990225.0134 4 2.480427130579524E-12 MYRUN
903 Q0 NYT19990225.0133 5 2.480427130579524E-12 MYRUN
903 Q0 NYT19990302.0150 6 2.480427130579524E-12 MYRUN
903 Q0 NYT19981213.0137 7 1.6494817018531977E-12 MYRUN
903 Q0 NYT19990818.0204 8 1.3200086652707965E-12 MYRUN
903 Q0 NYT19990317.0258 9 1.1955397614932875E-12 MYRUN
903 Q0 NYT20000828.0335 10 7.904740621028229E-13 MYRUN
903 Q0 NYT19990609.0182 11 5.067434277585191E-13 MYRUN
903 Q0 NYT20000110.0119 12 4.804261806892508E-13 MYRUN
903 Q0 NYT20000110.0140 13 4.804261806892508E-13 MYRUN
903 Q0 NYT19990801.0214 14 3.899297792054986E-13 MYRUN
903 Q0 NYT19990607.0122 15 3.4824072751737284E-13 MYRUN
903 Q0 NYT19990607.0132 16 3.4824072751737284E-13 MYRUN
903 Q0 NYT19991220.0063 17 3.02554326583927E-13 MYRUN
903 Q0 NYT19981211.0121 18 2.7255959738745477E-13 MYRUN
903 Q0 NYT19990906.0207 19 2.2743291057295396E-13 MYRUN
903 Q0 NYT19990407.0123 20 1.8909223775226856E-13 MYRUN
904	Progressive Dysphagia
904 Q0 NYT19990309.0076 1 0.020405276880045863 MYRUN
904 Q0 NYT19990309.0077 2 0.020405276880045863 MYRUN
904 Q0 NYT19990310.0198 3 0.020405276880045863 MYRUN
904 Q0 NYT19990310.0199 4 0.020405276880045863 MYRUN
904 Q0 NYT19980814.0443 5 0.00226747527256349 MYRUN
904 Q0 NYT19980814.0445 6 0.00226747527256349 MYRUN
904 Q0 NYT19980814.0444 7 0.00226747527256349 MYRUN
904 Q0 NYT19980814.0446 8 0.00226747527256349 MYRUN
904 Q0 XIE19970609.0016 9 0.002066030909258838 MYRUN
904 Q0 XIE19970308.0194 10 0.0019530702346819864 MYRUN
904 Q0 NYT19980608.0301 11 0.001599944025441312 MYRUN
904 Q0 NYT19980608.0302 12 0.001599944025441312 MYRUN
904 Q0 NYT19980609.0059 13 0.001599944025441312 MYRUN
904 Q0 XIE19960617.0177 14 0.001599944025441312 MYRUN
904 Q0 XIE19970630.0083 15 0.0014792407615705821 MYRUN
904 Q0 XIE19970919.0183 16 0.0013716987377169467 MYRUN
904 Q0 NYT20000324.0239 17 0.0013716987377169467 MYRUN
904 Q0 XIE19960917.0241 18 0.0011890265577306953 MYRUN
904 Q0 XIE19970302.0144 19 0.0010405736941371097 MYRUN
904 Q0 XIE19960616.0096 20 0.0010405556303405461 MYRUN


3. How to tune µ, and its effect on the query results.
In my program, I used a very small µ (µ=0.001), which means the scoring formula is dominated by the count of matched terms, and less affected by not matched terms.
As what I learnt from Professor Chengxiang Zhai's work in SIGIR 2001: A Study of Smoothing Methods for Language Models, long queries perform better than title queries when µ is sufficiently large, but when µ is very small, it is the opposite.
Therefore, if we want to use long queries, we need to set a large µ, otherwise, if we want to use short queries, a very small µ will be helpful. And with a very small µ, the scoring formula will be dominated by the count of matched terms, while with a very large µ, it won't be obvious what terms will dominate the scoring formula, which will be determined by the document frequency and collection frequency.


4. Java version
My Java version is "1.8.0_221".
